date_key,date_value,day,month,month_name,quarter,year,day_of_week,is_weekend
20231125,2023-11-25 00:00:00,25,11,November,4,2023,5,1
20231126,2023-11-26 00:00:00,26,11,November,4,2023,6,1
20231127,2023-11-27 00:00:00,27,11,November,4,2023,0,0
20231128,2023-11-28 00:00:00,28,11,November,4,2023,1,0
20231129,2023-11-29 00:00:00,29,11,November,4,2023,2,0
20231130,2023-11-30 00:00:00,30,11,November,4,2023,3,0
20231201,2023-12-01 00:00:00,1,12,December,4,2023,4,0
20231202,2023-12-02 00:00:00,2,12,December,4,2023,5,1
20231203,2023-12-03 00:00:00,3,12,December,4,2023,6,1
20231204,2023-12-04 00:00:00,4,12,December,4,2023,0,0
20231205,2023-12-05 00:00:00,5,12,December,4,2023,1,0
20231206,2023-12-06 00:00:00,6,12,December,4,2023,2,0
20231207,2023-12-07 00:00:00,7,12,December,4,2023,3,0
20231208,2023-12-08 00:00:00,8,12,December,4,2023,4,0
20231209,2023-12-09 00:00:00,9,12,December,4,2023,5,1
20231210,2023-12-10 00:00:00,10,12,December,4,2023,6,1
20231211,2023-12-11 00:00:00,11,12,December,4,2023,0,0
20231212,2023-12-12 00:00:00,12,12,December,4,2023,1,0
20231213,2023-12-13 00:00:00,13,12,December,4,2023,2,0
20231214,2023-12-14 00:00:00,14,12,December,4,2023,3,0
20231215,2023-12-15 00:00:00,15,12,December,4,2023,4,0
20231216,2023-12-16 00:00:00,16,12,December,4,2023,5,1
20231217,2023-12-17 00:00:00,17,12,December,4,2023,6,1
20231218,2023-12-18 00:00:00,18,12,December,4,2023,0,0
20231219,2023-12-19 00:00:00,19,12,December,4,2023,1,0
20231220,2023-12-20 00:00:00,20,12,December,4,2023,2,0
20231221,2023-12-21 00:00:00,21,12,December,4,2023,3,0
20231222,2023-12-22 00:00:00,22,12,December,4,2023,4,0
20231223,2023-12-23 00:00:00,23,12,December,4,2023,5,1
20231224,2023-12-24 00:00:00,24,12,December,4,2023,6,1
20231225,2023-12-25 00:00:00,25,12,December,4,2023,0,0
20231226,2023-12-26 00:00:00,26,12,December,4,2023,1,0
20231227,2023-12-27 00:00:00,27,12,December,4,2023,2,0
20231228,2023-12-28 00:00:00,28,12,December,4,2023,3,0
20231229,2023-12-29 00:00:00,29,12,December,4,2023,4,0
20231230,2023-12-30 00:00:00,30,12,December,4,2023,5,1
20231231,2023-12-31 00:00:00,31,12,December,4,2023,6,1
20240101,2024-01-01 00:00:00,1,1,January,1,2024,0,0
20240102,2024-01-02 00:00:00,2,1,January,1,2024,1,0
20240103,2024-01-03 00:00:00,3,1,January,1,2024,2,0
20240104,2024-01-04 00:00:00,4,1,January,1,2024,3,0
20240105,2024-01-05 00:00:00,5,1,January,1,2024,4,0
20240106,2024-01-06 00:00:00,6,1,January,1,2024,5,1
20240107,2024-01-07 00:00:00,7,1,January,1,2024,6,1
20240108,2024-01-08 00:00:00,8,1,January,1,2024,0,0
20240109,2024-01-09 00:00:00,9,1,January,1,2024,1,0
20240110,2024-01-10 00:00:00,10,1,January,1,2024,2,0
20240111,2024-01-11 00:00:00,11,1,January,1,2024,3,0
20240112,2024-01-12 00:00:00,12,1,January,1,2024,4,0
20240113,2024-01-13 00:00:00,13,1,January,1,2024,5,1
20240114,2024-01-14 00:00:00,14,1,January,1,2024,6,1
20240115,2024-01-15 00:00:00,15,1,January,1,2024,0,0
